timestamp,_id,timestamp
2018-10-02 06:00:00,184,184
2018-10-02 07:00:00,318,318
2018-10-02 08:00:00,348,348
2018-10-02 09:00:00,362,362
2018-10-02 10:00:00,278,278
2018-10-02 11:00:00,353,353
2018-10-02 12:00:00,388,388
2018-10-02 13:00:00,374,374
2018-10-02 14:00:00,306,306
2018-10-02 15:00:00,320,320
2018-10-02 16:00:00,404,404
2018-10-02 17:00:00,397,397
2018-10-02 18:00:00,283,283
2018-10-02 19:00:00,388,388
2018-10-02 20:00:00,0,0
2018-10-02 21:00:00,0,0
2018-10-02 22:00:00,0,0
2018-10-02 23:00:00,0,0
2018-10-03 00:00:00,0,0
2018-10-03 01:00:00,0,0
2018-10-03 02:00:00,0,0
2018-10-03 03:00:00,0,0
2018-10-03 04:00:00,0,0
2018-10-03 05:00:00,0,0
2018-10-03 06:00:00,0,0
2018-10-03 07:00:00,0,0
2018-10-03 08:00:00,0,0
2018-10-03 09:00:00,0,0
2018-10-03 10:00:00,272,272
2018-10-03 11:00:00,317,317
2018-10-03 12:00:00,270,270
2018-10-03 13:00:00,366,366
2018-10-03 14:00:00,220,220
2018-10-03 15:00:00,316,316
2018-10-03 16:00:00,264,264
2018-10-03 17:00:00,335,335
2018-10-03 18:00:00,430,430
2018-10-03 19:00:00,381,381
2018-10-03 20:00:00,380,380
2018-10-03 21:00:00,210,210
2018-10-03 22:00:00,130,130
2018-10-03 23:00:00,71,71
2018-10-04 00:00:00,67,67
2018-10-04 01:00:00,95,95
2018-10-04 02:00:00,29,29
2018-10-04 03:00:00,20,20
2018-10-04 04:00:00,38,38
2018-10-04 05:00:00,152,152
2018-10-04 06:00:00,207,207
2018-10-04 07:00:00,384,384
2018-10-04 08:00:00,331,331
2018-10-04 09:00:00,441,441
2018-10-04 10:00:00,389,389
2018-10-04 11:00:00,331,331
2018-10-04 12:00:00,388,388
2018-10-04 13:00:00,345,345
2018-10-04 14:00:00,326,326
2018-10-04 15:00:00,337,337
2018-10-04 16:00:00,236,236
2018-10-04 17:00:00,268,268
2018-10-04 18:00:00,378,378
2018-10-04 19:00:00,354,354
2018-10-04 20:00:00,258,258
2018-10-04 21:00:00,234,234
2018-10-04 22:00:00,153,153
2018-10-04 23:00:00,104,104
2018-10-05 00:00:00,68,68
2018-10-05 01:00:00,34,34
2018-10-05 02:00:00,40,40
2018-10-05 03:00:00,32,32
2018-10-05 04:00:00,63,63
2018-10-05 05:00:00,89,89
2018-10-05 06:00:00,207,207
2018-10-05 07:00:00,265,265
2018-10-05 08:00:00,285,285
2018-10-05 09:00:00,272,272
2018-10-05 10:00:00,273,273
2018-10-05 11:00:00,228,228
2018-10-05 12:00:00,265,265
2018-10-05 13:00:00,258,258
2018-10-05 14:00:00,379,379
2018-10-05 15:00:00,245,245
2018-10-05 16:00:00,271,271
2018-10-05 17:00:00,290,290
2018-10-05 18:00:00,356,356
2018-10-05 19:00:00,267,267
2018-10-05 20:00:00,354,354
2018-10-05 21:00:00,180,180
2018-10-05 22:00:00,182,182
2018-10-05 23:00:00,129,129
2018-10-06 00:00:00,63,63
2018-10-06 01:00:00,36,36
2018-10-06 02:00:00,45,45
2018-10-06 03:00:00,30,30
2018-10-06 04:00:00,34,34
2018-10-06 05:00:00,69,69
2018-10-06 06:00:00,159,159
2018-10-06 07:00:00,187,187
2018-10-06 08:00:00,196,196
2018-10-06 09:00:00,324,324
2018-10-06 10:00:00,334,334
2018-10-06 11:00:00,261,261
2018-10-06 12:00:00,300,300
2018-10-06 13:00:00,322,322
2018-10-06 14:00:00,331,331
2018-10-06 15:00:00,379,379
2018-10-06 16:00:00,307,307
2018-10-06 17:00:00,267,267
2018-10-06 18:00:00,334,334
2018-10-06 19:00:00,324,324
2018-10-06 20:00:00,324,324
2018-10-06 21:00:00,191,191
2018-10-06 22:00:00,139,139
2018-10-06 23:00:00,99,99
2018-10-07 00:00:00,57,57
2018-10-07 01:00:00,37,37
2018-10-07 02:00:00,25,25
2018-10-07 03:00:00,25,25
2018-10-07 04:00:00,23,23
2018-10-07 05:00:00,58,58
2018-10-07 06:00:00,96,96
2018-10-07 07:00:00,180,180
2018-10-07 08:00:00,297,297
2018-10-07 09:00:00,250,250
2018-10-07 10:00:00,414,414
2018-10-07 11:00:00,318,318
2018-10-07 12:00:00,377,377
2018-10-07 13:00:00,321,321
2018-10-07 14:00:00,392,392
2018-10-07 15:00:00,314,314
2018-10-07 16:00:00,372,372
2018-10-07 17:00:00,414,414
2018-10-07 18:00:00,309,309
2018-10-07 19:00:00,445,445
2018-10-07 20:00:00,382,382
2018-10-07 21:00:00,271,271
2018-10-07 22:00:00,217,217
2018-10-07 23:00:00,178,178
2018-10-08 00:00:00,93,93
2018-10-08 01:00:00,55,55
2018-10-08 02:00:00,52,52
2018-10-08 03:00:00,48,48
2018-10-08 04:00:00,51,51
2018-10-08 05:00:00,80,80
2018-10-08 06:00:00,115,115
2018-10-08 07:00:00,383,383
2018-10-08 08:00:00,361,361
2018-10-08 09:00:00,348,348
2018-10-08 10:00:00,300,300
2018-10-08 11:00:00,434,434
2018-10-08 12:00:00,558,558
2018-10-08 13:00:00,428,428
2018-10-08 14:00:00,416,416
2018-10-08 15:00:00,162,162
2018-10-08 16:00:00,0,0
2018-10-08 17:00:00,0,0
2018-10-08 18:00:00,0,0
2018-10-08 19:00:00,0,0
2018-10-08 20:00:00,0,0
2018-10-08 21:00:00,0,0
2018-10-08 22:00:00,0,0
2018-10-08 23:00:00,0,0
2018-10-09 00:00:00,0,0
2018-10-09 01:00:00,0,0
2018-10-09 02:00:00,0,0
2018-10-09 03:00:00,0,0
2018-10-09 04:00:00,0,0
2018-10-09 05:00:00,0,0
2018-10-09 06:00:00,0,0
2018-10-09 07:00:00,0,0
2018-10-09 08:00:00,0,0
2018-10-09 09:00:00,0,0
2018-10-09 10:00:00,0,0
2018-10-09 11:00:00,0,0
2018-10-09 12:00:00,0,0
2018-10-09 13:00:00,0,0
2018-10-09 14:00:00,0,0
2018-10-09 15:00:00,0,0
2018-10-09 16:00:00,0,0
2018-10-09 17:00:00,0,0
2018-10-09 18:00:00,0,0
2018-10-09 19:00:00,0,0
2018-10-09 20:00:00,0,0
2018-10-09 21:00:00,0,0
2018-10-09 22:00:00,0,0
2018-10-09 23:00:00,0,0
2018-10-10 00:00:00,0,0
2018-10-10 01:00:00,0,0
2018-10-10 02:00:00,0,0
2018-10-10 03:00:00,0,0
2018-10-10 04:00:00,0,0
2018-10-10 05:00:00,0,0
2018-10-10 06:00:00,0,0
2018-10-10 07:00:00,0,0
2018-10-10 08:00:00,0,0
2018-10-10 09:00:00,0,0
2018-10-10 10:00:00,58,58
2018-10-10 11:00:00,578,578
2018-10-10 12:00:00,348,348
2018-10-10 13:00:00,416,416
2018-10-10 14:00:00,346,346
2018-10-10 15:00:00,276,276
2018-10-10 16:00:00,220,220
2018-10-10 17:00:00,272,272
2018-10-10 18:00:00,128,128
2018-10-10 19:00:00,0,0
2018-10-10 20:00:00,0,0
2018-10-10 21:00:00,0,0
2018-10-10 22:00:00,0,0
2018-10-10 23:00:00,0,0
2018-10-11 00:00:00,0,0
2018-10-11 01:00:00,0,0
2018-10-11 02:00:00,0,0
2018-10-11 03:00:00,0,0
2018-10-11 04:00:00,0,0
2018-10-11 05:00:00,5,5
2018-10-11 06:00:00,164,164
2018-10-11 07:00:00,222,222
2018-10-11 08:00:00,277,277
2018-10-11 09:00:00,361,361
2018-10-11 10:00:00,221,221
2018-10-11 11:00:00,361,361
2018-10-11 12:00:00,376,376
2018-10-11 13:00:00,448,448
2018-10-11 14:00:00,314,314
2018-10-11 15:00:00,297,297
2018-10-11 16:00:00,230,230
2018-10-11 17:00:00,248,248
2018-10-11 18:00:00,388,388
2018-10-11 19:00:00,252,252
2018-10-11 20:00:00,326,326
2018-10-11 21:00:00,280,280
2018-10-11 22:00:00,224,224
2018-10-11 23:00:00,101,101
2018-10-12 00:00:00,103,103
2018-10-12 01:00:00,51,51
2018-10-12 02:00:00,23,23
2018-10-12 03:00:00,71,71
2018-10-12 04:00:00,116,116
2018-10-12 05:00:00,82,82
2018-10-12 06:00:00,161,161
2018-10-12 07:00:00,2,2
2018-10-12 08:00:00,0,0
2018-10-12 09:00:00,0,0
2018-10-12 10:00:00,0,0
2018-10-12 11:00:00,0,0
2018-10-12 12:00:00,0,0
2018-10-12 13:00:00,251,251
2018-10-12 14:00:00,263,263
2018-10-12 15:00:00,234,234
2018-10-12 16:00:00,209,209
2018-10-12 17:00:00,383,383
2018-10-12 18:00:00,307,307
2018-10-12 19:00:00,508,508
2018-10-12 20:00:00,672,672
2018-10-12 21:00:00,221,221
2018-10-12 22:00:00,186,186
2018-10-12 23:00:00,131,131
2018-10-13 00:00:00,53,53
2018-10-13 01:00:00,75,75
2018-10-13 02:00:00,30,30
2018-10-13 03:00:00,58,58
2018-10-13 04:00:00,114,114
2018-10-13 05:00:00,232,232
2018-10-13 06:00:00,145,145
2018-10-13 07:00:00,168,168
2018-10-13 08:00:00,262,262
2018-10-13 09:00:00,264,264
2018-10-13 10:00:00,312,312
2018-10-13 11:00:00,591,591
2018-10-13 12:00:00,295,295
2018-10-13 13:00:00,315,315
2018-10-13 14:00:00,260,260
2018-10-13 15:00:00,272,272
2018-10-13 16:00:00,231,231
2018-10-13 17:00:00,222,222
2018-10-13 18:00:00,313,313
2018-10-13 19:00:00,277,277
2018-10-13 20:00:00,250,250
2018-10-13 21:00:00,254,254
2018-10-13 22:00:00,172,172
2018-10-13 23:00:00,79,79
2018-10-14 00:00:00,62,62
2018-10-14 01:00:00,178,178
2018-10-14 02:00:00,81,81
2018-10-14 03:00:00,96,96
2018-10-14 04:00:00,80,80
2018-10-14 05:00:00,202,202
2018-10-14 06:00:00,79,79
2018-10-14 07:00:00,10,10
2018-10-14 08:00:00,0,0
2018-10-14 09:00:00,0,0
2018-10-14 10:00:00,0,0
2018-10-14 11:00:00,0,0
2018-10-14 12:00:00,0,0
2018-10-14 13:00:00,0,0
2018-10-14 14:00:00,0,0
2018-10-14 15:00:00,0,0
2018-10-14 16:00:00,0,0
2018-10-14 17:00:00,0,0
2018-10-14 18:00:00,0,0
2018-10-14 19:00:00,0,0
2018-10-14 20:00:00,0,0
2018-10-14 21:00:00,0,0
2018-10-14 22:00:00,0,0
2018-10-14 23:00:00,0,0
2018-10-15 00:00:00,0,0
2018-10-15 01:00:00,0,0
2018-10-15 02:00:00,0,0
2018-10-15 03:00:00,0,0
2018-10-15 04:00:00,0,0
2018-10-15 05:00:00,0,0
2018-10-15 06:00:00,0,0
2018-10-15 07:00:00,0,0
2018-10-15 08:00:00,0,0
2018-10-15 09:00:00,54,54
2018-10-15 10:00:00,276,276
2018-10-15 11:00:00,357,357
2018-10-15 12:00:00,372,372
2018-10-15 13:00:00,321,321
2018-10-15 14:00:00,295,295
2018-10-15 15:00:00,375,375
2018-10-15 16:00:00,254,254
2018-10-15 17:00:00,275,275
2018-10-15 18:00:00,328,328
2018-10-15 19:00:00,333,333
2018-10-15 20:00:00,350,350
2018-10-15 21:00:00,278,278
2018-10-15 22:00:00,208,208
2018-10-15 23:00:00,107,107
2018-10-16 00:00:00,80,80
2018-10-16 01:00:00,61,61
2018-10-16 02:00:00,74,74
2018-10-16 03:00:00,119,119
2018-10-16 04:00:00,42,42
2018-10-16 05:00:00,95,95
2018-10-16 06:00:00,168,168
2018-10-16 07:00:00,251,251
2018-10-16 08:00:00,286,286
2018-10-16 09:00:00,281,281
2018-10-16 10:00:00,227,227
2018-10-16 11:00:00,309,309
2018-10-16 12:00:00,283,283
2018-10-16 13:00:00,314,314
2018-10-16 14:00:00,441,441
2018-10-16 15:00:00,387,387
2018-10-16 16:00:00,311,311
2018-10-16 17:00:00,125,125
2018-10-16 18:00:00,0,0
2018-10-16 19:00:00,240,240
2018-10-16 20:00:00,418,418
2018-10-16 21:00:00,349,349
2018-10-16 22:00:00,216,216
2018-10-16 23:00:00,208,208
2018-10-17 00:00:00,70,70
2018-10-17 01:00:00,43,43
2018-10-17 02:00:00,68,68
2018-10-17 03:00:00,118,118
2018-10-17 04:00:00,52,52
2018-10-17 05:00:00,113,113
2018-10-17 06:00:00,185,185
2018-10-17 07:00:00,256,256
2018-10-17 08:00:00,373,373
2018-10-17 09:00:00,397,397
2018-10-17 10:00:00,253,253
2018-10-17 11:00:00,307,307
2018-10-17 12:00:00,316,316
2018-10-17 13:00:00,336,336
2018-10-17 14:00:00,287,287
2018-10-17 15:00:00,357,357
2018-10-17 16:00:00,278,278
2018-10-17 17:00:00,244,244
2018-10-17 18:00:00,276,276
2018-10-17 19:00:00,332,332
2018-10-17 20:00:00,250,250
2018-10-17 21:00:00,252,252
2018-10-17 22:00:00,206,206
2018-10-17 23:00:00,135,135
2018-10-18 00:00:00,81,81
2018-10-18 01:00:00,3,3
2018-10-18 02:00:00,0,0
2018-10-18 03:00:00,0,0
2018-10-18 04:00:00,0,0
2018-10-18 05:00:00,0,0
2018-10-18 06:00:00,0,0
2018-10-18 07:00:00,119,119
2018-10-18 08:00:00,297,297
2018-10-18 09:00:00,294,294
2018-10-18 10:00:00,396,396
2018-10-18 11:00:00,341,341
2018-10-18 12:00:00,319,319
2018-10-18 13:00:00,308,308
2018-10-18 14:00:00,363,363
2018-10-18 15:00:00,356,356
2018-10-18 16:00:00,321,321
2018-10-18 17:00:00,312,312
2018-10-18 18:00:00,295,295
2018-10-18 19:00:00,301,301
2018-10-18 20:00:00,248,248
2018-10-18 21:00:00,187,187
2018-10-18 22:00:00,173,173
2018-10-18 23:00:00,117,117
2018-10-19 00:00:00,74,74
2018-10-19 01:00:00,34,34
2018-10-19 02:00:00,32,32
2018-10-19 03:00:00,41,41
2018-10-19 04:00:00,61,61
2018-10-19 05:00:00,79,79
2018-10-19 06:00:00,130,130
2018-10-19 07:00:00,248,248
2018-10-19 08:00:00,261,261
2018-10-19 09:00:00,353,353
2018-10-19 10:00:00,310,310
2018-10-19 11:00:00,362,362
2018-10-19 12:00:00,280,280
2018-10-19 13:00:00,105,105
2018-10-19 14:00:00,9,9
2018-10-19 15:00:00,13,13
2018-10-19 16:00:00,0,0
2018-10-19 17:00:00,0,0
2018-10-19 18:00:00,0,0
2018-10-19 19:00:00,0,0
2018-10-19 20:00:00,0,0
2018-10-19 21:00:00,0,0
2018-10-19 22:00:00,0,0
2018-10-19 23:00:00,0,0
2018-10-20 00:00:00,0,0
