page_id,page_title,rev_id,time
3778774,1._Divisioun,38789084,20130825151826
458311,Roberto_Benzi,3694271,20060415123041
2845839,Die_in_Your_Arms,31450834,20120613162953
3893844,Germ_Hofma,40170525,20140119160034
762326,Eugène_Lücker,6704776,20070129153757
4099642,Petronella_Lenting,42749493,20141214155745
1969880,Macropygia,22192846,20100811173050
1875535,Wereldkampioenschap_schaatsen_allround_1909,20561565,20100328013954
1052668,Big_Bend_(Wisconsin),9571007,20070929145439
1496159,Ludwig_Quidde,14888948,20081213063542
1180150,Joel_Robinson,11063434,20080129154350
2270718,Dean_Cochran,26443706,20110712091714
4429469,Xerocomus,45580717,20151221194529
755770,Mbombelastadion,6633400,20070123142510
4374642,Lijst_van_gevelstenen_in_Hoorn,44694303,20150812145209
1531824,Taking_My_Love_(And_Leaving_Me),15237663,20090112193403
66660,1169,340694,20040617082703
705931,Oude_blauwe_zeeklei,6121561,20061215233139
2179960,New_York_City_Marathon_1991,25624510,20110516112930
114276,Berneg,681070,20041218194046
1995639,Jamie_Walters,22507023,20100903172859
320076,Real_Madrid_Castilla,2596228,20051215174625
2318692,"Te_slăvim,_Românie",27337445,20110928055821
2812960,Marathon_van_Rome_1997,30524609,20120428180731
4898721,Pjotr_Sedov,50210983,20171020064012
4822660,Georges_Pepermans,49201494,20170531074757
4432430,Jan_van_Hinte_(verzetsman),45623664,20151228123344
661724,Britse_telefooncel,5660535,20061101212255
501954,Tarbes,3918650,20060510180628
516013,Gaia_(ruimtetelescoop),4039615,20060522101047
4588585,Teus_van_den_Berg-Been,46984827,20160626014844
4064157,Friedrich_Hossbach,42234503,20141008142855
1971599,Handley_Page_Halifax,22216467,20100813160954
1240397,Bloedorde,11782864,20080325035803
1702263,70_Pine_Street,17956844,20090821175456
2428,1674,6304,20020329133750
1185783,Johannisthaler_Chaussee_(metrostation),11132530,20080203202452
737399,Peter_Robertson,6407295,20070107073124
1533079,Vlektyfus,98602,20030918200242
59626,Jaarverslag,295314,20040510190906
270523,Abrus_(plant),2138773,20051006210433
2808452,Poort_van_het_Morgenrood,30444309,20120421152314
2248404,Star_Soldier_(computerspel_uit_1986),26312772,20110703103927
308619,Tsangyang_Gyatso,2476637,20051130134220
1904042,Zinkflora,21008668,20100503060124
375105,Corpus_(taalkunde),3097393,20060208010041
1415205,Phil_Manzanera,13963934,20080923202832
23197,Tinnitus,100485,20030921224756
2883347,Kyle_Walker,32162572,20120803131607
4579820,Scott_Davies,46836714,20160603175842
1790475,Timothy_Durwael,19238154,20091207134257
1667801,Bill_Black,17359512,20090625160218
391421,Massa_di_Somma,3237811,20060226013602
4676645,Het_duo,47650327,20161009154421
1831547,Lens_Annab,19873080,20100130192213
1021317,Westphalia_(Missouri),9376405,20070917190808
1889351,SV_Hatert,20772520,20100414134528
1683634,Resolutie_1391_Veiligheidsraad_Verenigde_Naties,17633315,20090721163037
3733502,Wii-serie,38355357,20130701134538
22805,Jalalabad_(Afghanistan),98212,20030917124818
3022425,André_Luiz_Rodrigues_Lopes,34205093,20130101132125
3749259,Lijst_van_planetoïden_67601-67700,38437490,20130708113343
1100700,Manuel_Fraga,10109641,20071109224602
2155063,VV_Wolfaartsdijk,25128640,20110406220235
685439,Stocksterhorn,5901975,20061124212107
3013516,Una_Mae_Carlisle,34027376,20121217114238
2708223,M-Sport_World_Rally_Team,28856949,20111229161627
2744724,Erik_Stolte,29426112,20120206195315
2292491,De_Kogge,26896714,20110816140058
1049836,La_Crosse_(Virginia),9558654,20070929015838
1354101,Tokologo,13089587,20080712061220
1935010,Leonardo_Cordeiro,21596443,20100617142648
1747015,Lieve_Hugo,18560477,20091012232934
4839465,Hendrik_Denijs,49559213,20170726191402
508256,Sieds_Johannes_Rienks,3953407,20060514084140
3828711,Topscore,39263754,20131024142114
1987940,Timbé_do_Sul,22390586,20100825214012
1932971,ÖBB_4744,21556112,20100614072250
4003224,Pianoconcert_(Borgstrøm),41336458,20140521104423
371009,El_Carpio,3062324,20060205131353
797335,Daniel_Komen_(1976),7137408,20070228101236
2997618,Brasserie_Grain_d'Orge_(Homburg),33690865,20121121083522
1564621,Laika_Come_Home,15694674,20090217155408
2114349,Morrocan_Golf_Classic,24317875,20110208110701
1854035,Augustin_Janssens_(voetballer),20243099,20100301072912
1707227,Jan_de_Rijk,18048362,20090829202443
1782927,Hypogastruridae,19113198,20091126215225
4736137,Anton_Vink,47950629,20161107163501
5061302,Ghost_of_Tsushima,51617864,20180513013321
325075,Cercle_(Mali),2641708,20051220220636
2186238,Marathon_Rotterdam_1985,25721515,20110525024725
3259009,Lijst_van_voetbalinterlands_Guinee_-_Mozambique,36610752,20130321211218
748272,Persmuseum,6548998,20070116120959
4815381,Hoge_fijnstraal,49098099,20170511124533
1794495,Landdagverkiezingen_DDR_1950,19297334,20091213071938
1333710,Extreme_Ghostbusters:_The_Ultimate_Invasion,12906482,20080628114651
4726948,Papatrigo,47740669,20161016204810
1835621,Christian_Wilhelm_Janssen,19939472,20100204195751
818780,Kenscoff,7383988,20070320122002
1585235,Universitas_21,16029412,20090314100147
1549492,Shirley_Strickland,15443097,20090130210804
997204,Springerville,9248193,20070908220051
910831,Canadees_rugbyteam,8362019,20070617125122
4580262,Chris_Kijne,46843233,20160604190127
105147,Berlijnse_Conferentie_van_Europese_Katholieken,616738,20041121152818
1714626,Neil_Dawson,18202658,20090910161447
2500407,Patrick_Nebel,27931730,20111101232708
4823480,Donder_-_Volmaakte_Geest,49214789,20170602110243
1855164,Rijksuniversiteit_Leuven,20258962,20100302141230
4610579,Septembers_of_Shiraz,47368194,20160830030513
15128,Vesuvius_(vulkaan),57676,20030629124549
723525,Hey_Jude,6272830,20061229101007
4561476,Gamergate,46557020,20160420193033
2139035,RTL_Weer,24825728,20110315170628
1085657,Flash_(DC_Comics),9960059,20071028131436
92106,Triton_(mythologie),524945,20041001203100
2549794,Marsilea_batardae,28306294,20111129210049
5105076,Padú_Lampe,52272533,20180919101535
7357,Ringspanning,22845,20030114214407
1175026,Sven_Delanoy,10998088,20080124151804
4356056,Tomoyoshi_Koyama,44397974,20150622113005
54222,Gereformeerde_Kerken_in_Nederland,265173,20040416125835
1941419,Campbell_Armstrong,21718957,20100629204440
4405196,De_Potter,45193444,20151027162105
4322642,Lijst_van_voetbalinterlands_Cambodja_-_Indonesië,43793933,20150407215655
961841,Istanbul_Park,8898664,20070808185254
707212,FK_Borac_Banja_Luka,6138160,20061217152123
2163009,Brasserie_Lupulus,25281386,20110419080336
2858694,Otto_von_Hügel,31742872,20120704064246
1434674,Deutsches_Symphonie-Orchester_Berlin,14225285,20081019091431
866194,Russisch-Zweedse_Oorlog_(1741-1743),7922025,20070508092023
24607,1182,121066,20031009023133
2883069,František_Drtikol,32154022,20120802214329
534960,"Mauretania_(schip,_1939)",4246180,20060610120408
194374,Rok_(kleding),1190052,20050601220920
3519304,Golfspoorweg,37188198,20130415114759
3785974,Ecuadoraans_voetbalelftal_in_1992,38895418,20130907144950
761436,EUR_(Rome),6693725,20070128181236
5119497,Abercrombie_Robinson,52503914,20181023130004
4354938,Kabinet-Kaczyński,44381305,20150619143121
5108456,Robert_Boulin,52355692,20180927195824
1217712,Hello_World_(Nikki),11531027,20080304183623
1043743,Snow_Shoe,9514691,20070926175021
4800937,Museum_van_folkloristische_kapellen,48895957,20170401221709
1357586,Marathon_van_Eindhoven_2008,13141825,20080716081431
200542,125_v.Chr.,1247982,20050613213917
4752744,Eubaphe,48183242,20161213095130
4747450,Eilandsraadverkiezingen_Curaçao_2003,48111002,20161204083445
343900,WarGames,2822541,20060108195216
3049480,Arnold_Paulz,34841614,20130211190740
252297,Johanniter_Orde_in_Nederland,2001667,20050911214807
1735524,In_Between_Dreams,18382606,20090926092235
614308,Assur-bel-nisheshu,5184369,20060912222928
3988084,Eduardo_Jiguchi,41103153,20140420051704
224473,Ronde_van_Frankrijk_1960,1684452,20050728125125
413993,The_Texas_Chainsaw_Massacre_(2003),3383283,20060313233908
2821046,Charlie_Ford,30660728,20120511182453
2122720,Perelandra_(boek),24469362,20110219174713
4092469,When_you_tell_me_that_you_love_me,42624876,20141203134849
705,Feest-_en_gedenkdagen,1931,20020713205045
4335086,Hipposideros,44097736,20150506053926
1604298,Paulínia,16333017,20090407195050
8633,Bobby_Brown_(zanger),57514,20030215204045
4925327,Mexico_op_het_wereldkampioenschap_voetbal_2018,50580368,20171221085751
829650,Rafael_Alkorta,7501084,20070330133244
1851635,AdvoCare_500_(Phoenix_International_Raceway),20203793,20100226090317
542565,Lijst_van_kerkgebouwen_in_België,4363316,20060619102522
4948306,Prehistorische_grotten_van_Fonds-de-Forêt,50955710,20180212153447
1035101,South_Euclid,9446415,20070922162506
3802100,Space_(Franse_band),39115413,20131005232906
1761661,Gretchen_Mol,18818360,20091101014305
4803646,Diëthylmalonaat,48937021,20170409131413
2529070,Coptocephala,28152925,20111117211216
1482734,Aanslagen_in_Bombay_van_november_2008,14681363,20081127005622
4595768,Pinocchio_in_Outer_Space,47103936,20160718190708
2300613,Bryce_DeWitt,27050863,20110830205532
1224050,David_Hyde_Pierce,11614193,20080311141515
25318,Kanaaltunnel,108106,20031017204130
1799053,Station_Tel_Aviv_Hasjalom,19365306,20091219220831
11871,612,51985,20030515023510
3034088,Uva_Longanesi,34458070,20130119194642
4054106,Albert_Van_Hoorick,42090546,20140915134405
828619,Omiya_Ardija,7489061,20070329150340
267590,Knolcyperus,2115417,20051002103019
805876,Geitenkamp,7228592,20070307192904
2276599,Caught,26527121,20110719203137
5073680,Gianluigi_Nuzzi,51800690,20180615172056
869245,Dave_Dowle,7954967,20070511101937
2024788,"Vital_Signs_(Beverly_Hills,_90210)",22969878,20101017203103
57571,Vingerafdruk,1382942,20040430083930
3832938,Pierre_Gasly,39308507,20131030155017
4905843,Ranglijsten_schaatsen_grote_vierkamp_vrouwen,50309178,20171104101850
22554,Zwarte_neushoorn,96318,20030913210231
2884477,Judo_op_de_Olympische_Zomerspelen_2012_–_Klasse_tot_90_kilogram_mannen,32185280,20120805091133
4606678,Mick_Grant,47292505,20160816181606
1503415,Kituro_Schaarbeek_RC,14981079,20081221165105
178193,Tegenpaus_Novatianus,1051310,20050429072209
3739216,Boom_(single),38402954,20130705025154
145933,Ebolavirus,867480,20050305151633
1760137,Lijst_van_beelden_in_Den_Haag-West,18795317,20091029211422
4342850,Moshe_Kahlon,44208185,20150523120749
1063613,Boven-Rijnse_Kreits,9701319,20071007204316
393364,Paraná_Clube,3248726,20060227105541
4550278,Emily_Williamson,46380762,20160324233909
3708986,Troublemaker_(Olly_Murs),38244014,20130624163438
1020583,Leasburg,9374720,20070917175745
2862357,The_Sheriff_of_Fractured_Jaw,31847630,20120711095119
1336243,Tommy_Horton_(personage),12926261,20080629211123
4403113,Black_Mass_(album),45161140,20151022204945
993213,Kerkrentmeester,9213863,20070905192339
1254,Olympische_Winterspelen,3356,20020227175848
1025998,Stanton_(Nebraska),9395218,20070918202458
1539873,Wereldbeker_schaatsen_2008/2009_-_Wereldbeker_8,15328976,20090120203329
